ID,Life expectancy
1,74.0601173306235
2,77.71017309239359
3,75.62523226666302
4,75.48046920138088
5,56.272670945641494
6,51.06055572983078
7,70.6604301498206
8,74.76511979825959
9,76.27061635016378
10,64.7208408748958
11,53.28456570286366
12,51.56291913177287
13,60.76683430906783
14,75.74498460582726
15,70.86504105756762
16,65.44517990803433
17,60.36187856507587
18,79.96622266046359
19,69.51165768041487
20,80.41735045982415
21,80.54348902953834
22,81.32128672327777
23,72.77518431448634
24,71.32149252287063
25,71.2156723218338
26,68.9526840396239
27,49.756651806162296
28,66.80016887947028
29,82.22417723086443
30,73.8420496113558
31,65.9972103345984
32,73.65091291822085
33,75.26152242115589
34,70.55884321174656
35,81.16243046172006
36,44.155172843272695
37,58.54816877598219
38,72.15961901730114
39,67.51219491819782
40,73.62013234245416
41,54.52240798035223
42,59.43824653408119
43,76.17844410255256
44,82.46135932377297
45,74.92722449756569
46,50.688466253077564
47,81.25885932543866
48,68.0468831238999
49,63.381064287559994
50,70.5339042426445
51,55.03039096590939
52,70.06764919015701
53,75.86507156936415
54,69.44269667518981
55,75.17127608075566
56,54.35756865235717
57,71.85741274236192
58,78.13764122907884
59,64.00606425849986
60,65.30862693442575
61,80.92568393315241
62,54.135744414603295
63,73.44377863488035
64,69.09118274309026
65,54.00738518772993
66,58.79834489367898
67,51.179668284170845
68,78.87326254342136
69,56.24182033281926
70,70.83912861905225
71,83.66442789798717
72,74.94408592806414
73,74.89863458963728
74,55.52338822339698
75,53.0861559561295
76,68.27449317764388
77,64.15672125850205
78,72.17900985398292
79,60.04970973744079
80,68.26428219950323
81,63.82798287306048
82,64.2189312018076
83,64.22036668289084
84,63.77416950965079
85,68.41508751362828
86,80.78867777663883
87,74.17778429444202
88,65.89809350760115
89,68.12939183524834
90,82.87721444958969
91,74.43258589381544
92,49.17419417716242
93,74.3999945301604
94,75.11977526125659
95,74.94777717238215
96,71.41554476625814
97,79.06713004800403
98,72.43329406008205
99,67.21803703605036
100,63.53946505767141
101,81.42255272623501
102,54.067658789854505
103,70.17787204737479
104,54.560199429739995
105,68.13700571928231
106,85.26950124016527
107,72.55620754907909
108,69.3087092554683
109,56.639025883827145
110,62.33317293539088
111,66.67733509635585
112,63.38134297892313
113,56.19537049387304
114,58.30106016909593
115,58.95943315195825
116,74.37044379480066
117,49.76614857665717
118,53.12472539222318
119,58.41254493142915
120,64.26349798180979
121,68.04154827489663
122,72.5191572611107
123,79.93987772140497
124,57.71841392469423
125,62.69709919404188
126,66.22817104210353
127,72.10674317857767
128,62.191679650082676
129,73.31134297206256
130,71.1978917155588
131,75.31990885346465
132,83.46642402152362
133,74.13133436816494
134,67.16003137937764
135,60.178076085421964
136,69.7473188040589
137,75.07087109170712
138,80.19091322699708
139,76.26619594566341
140,73.70807429999081
141,73.46200616116367
142,67.57575623601647
143,66.211494233123
144,57.361548146341676
145,47.63997748991261
146,67.21071153289222
147,74.02391811351069
148,74.25855697999498
149,59.83920096237652
150,77.25299102538368
151,73.7218107947368
152,83.85360728103637
153,69.65541656998009
154,63.855350171798634
155,81.18343292853515
156,75.22427476029826
157,83.5108807141745
158,73.84435024155867
159,78.06627805083545
160,80.91123306258316
161,75.27245280945492
162,83.11999913930197
163,69.8748863221077
164,76.94764982783953
165,74.01497883407242
166,64.62264204413302
167,61.40419559292331
168,80.54420160286784
169,78.01887193052691
170,72.70777349024029
171,81.32388048130314
172,72.89159190272058
173,71.04153755442539
174,56.922726735915816
175,72.81063333546172
176,66.588634664809
177,73.20588603941322
178,65.37660410287486
179,56.32714226637739
180,71.32564600246948
181,81.14445263064192
182,67.09722135736709
183,79.79624153591476
184,74.83078335836647
185,79.70958446895771
186,38.12687515611128
187,64.42072918728655
188,49.99137018408777
189,72.0418135276833
190,74.17542747990129
191,60.11031673956231
192,71.38299246107383
193,76.37195082478543
194,62.35252363975036
195,78.02686815737084
196,68.90004737857367
197,74.95673341353587
198,71.31489181468285
199,79.37926088705525
200,72.1842667125959
201,74.2084509673976
202,53.78886738863383
203,75.11232107822039
204,72.48992879743042
205,67.44900624120487
